age,sex,n,cohort,Percentage
51,Females,165649,TPP,1.38
51,I,NA,TPP,NA
51,Males,172197,TPP,1.43
52,Females,165064,TPP,1.37
52,I,NA,TPP,NA
52,Males,170559,TPP,1.4200000000000002
53,Females,165127,TPP,1.37
53,I,NA,TPP,NA
53,Males,171447,TPP,1.43
53,Unknown,NA,TPP,NA
54,Females,166557,TPP,1.38
54,I,NA,TPP,NA
54,Males,172689,TPP,1.44
54,Unknown,NA,TPP,NA
55,Females,166797,TPP,1.39
55,I,NA,TPP,NA
55,Males,172238,TPP,1.43
55,Unknown,NA,TPP,NA
56,Females,162938,TPP,1.35
56,I,NA,TPP,NA
56,Males,166037,TPP,1.38
57,Females,159509,TPP,1.3299999999999998
57,I,NA,TPP,NA
57,Males,163399,TPP,1.3599999999999999
57,Unknown,NA,TPP,NA
58,Females,153484,TPP,1.28
58,I,NA,TPP,NA
58,Males,157412,TPP,1.31
59,Females,150328,TPP,1.25
59,I,NA,TPP,NA
59,Males,153993,TPP,1.28
59,Unknown,NA,TPP,NA
60,Females,142596,TPP,1.18
60,I,NA,TPP,NA
60,Males,144443,TPP,1.2
61,Females,141250,TPP,1.17
61,Males,142536,TPP,1.1900000000000002
62,Females,136790,TPP,1.1400000000000001
62,I,NA,TPP,NA
62,Males,137492,TPP,1.1400000000000001
62,Unknown,NA,TPP,NA
63,Females,131634,TPP,1.09
63,I,NA,TPP,NA
63,Males,131225,TPP,1.09
64,Females,125520,TPP,1.04
64,Males,124002,TPP,1.03
64,Unknown,NA,TPP,NA
65,Females,125523,TPP,1.04
65,I,NA,TPP,NA
65,Males,121637,TPP,1.01
66,Females,124966,TPP,1.04
66,Males,121329,TPP,1.01
67,Females,122248,TPP,1.02
67,I,NA,TPP,NA
67,Males,116580,TPP,0.97
68,Females,119461,TPP,0.9900000000000001
68,I,NA,TPP,NA
68,Males,114434,TPP,0.95
68,Unknown,NA,TPP,NA
69,Females,120667,TPP,1
69,Males,114465,TPP,0.95
69,Unknown,NA,TPP,NA
70,Females,124167,TPP,1.03
70,I,NA,TPP,NA
70,Males,116080,TPP,0.97
71,Females,127168,TPP,1.06
71,Males,118835,TPP,0.9900000000000001
71,Unknown,NA,TPP,NA
72,Females,139689,TPP,1.16
72,I,NA,TPP,NA
72,Males,129783,TPP,1.08
73,Females,131761,TPP,1.09
73,Males,121652,TPP,1.01
74,Females,101972,TPP,0.8500000000000001
74,I,NA,TPP,NA
74,Males,93364,TPP,0.7799999999999999
74,Unknown,NA,TPP,NA
75,Females,110325,TPP,0.9199999999999999
75,I,NA,TPP,NA
75,Males,100832,TPP,0.84
75,Unknown,NA,TPP,NA
76,Females,97409,TPP,0.8099999999999999
76,I,NA,TPP,NA
76,Males,87379,TPP,0.73
77,Females,91729,TPP,0.76
77,I,NA,TPP,NA
77,Males,81502,TPP,0.6799999999999999
78,Females,78286,TPP,0.65
78,Males,67519,TPP,0.5599999999999999
79,Females,75971,TPP,0.63
79,I,NA,TPP,NA
79,Males,64643,TPP,0.54
79,Unknown,NA,TPP,NA
80,Females,76709,TPP,0.64
80,Males,63260,TPP,0.53
81,Females,74207,TPP,0.62
81,Males,61089,TPP,0.51
82,Females,68957,TPP,0.5700000000000001
82,Males,55683,TPP,0.45999999999999996
83,Females,64755,TPP,0.54
83,I,NA,TPP,NA
83,Males,50370,TPP,0.42
83,Unknown,NA,TPP,NA
84,Females,59248,TPP,0.49
84,Males,44896,TPP,0.37
85,Females,54049,TPP,0.44999999999999996
85,Males,40006,TPP,0.33
85,Unknown,NA,TPP,NA
86,Females,48656,TPP,0.4
86,Males,34459,TPP,0.29
87,Females,45214,TPP,0.38
87,Males,30583,TPP,0.25
88,Females,40651,TPP,0.33999999999999997
88,Males,26112,TPP,0.22
89,Females,37315,TPP,0.31
89,Males,22697,TPP,0.19
90+,Females,149743,TPP,1.24
90+,I,NA,TPP,NA
90+,Males,71322,TPP,0.59
90+,Unknown,NA,TPP,NA
